id,county,latitude,longitude,wellDepth,LandSurfaceElevation,WaterElevation,Saturated Thickness,DepthFromLSD,Month,Day,Year
2335503,Lubbock,33.4247220,-101.7019450,83.81999731776008,950.6711695785226,899.3550432206385,79.94000000000005,51.316126357883995,1,28,2015
2335701,Lubbock,33.4147230,-101.7469450,51.815998341888054,958.595969324929,910.5015788639495,-12.590000000000146,48.0943904609795,1,16,2013
2335706,Lubbock,33.4100010,-101.7141670,64.92239792248327,952.1951695297546,911.443410833811,158.80000000000018,40.751758695943664,1,3,1995
2335707,Lubbock,33.3997220,-101.7233330,73.15199765913607,952.8047695102474,901.9031711390985,127.5,50.90159837114885,3,2,2016
2335710,Lubbock,33.4122230,-101.7138890,83.51519732751369,951.5855695492618,898.5960912449251,116.65000000000009,52.989478304336664,12,19,2014
2335902,Lubbock,33.4102778,-101.6380556,83.51519732751369,937.8695699881738,891.1711634825227,152.59000000000015,46.698406505651,12,14,2015
2335903,Lubbock,33.4108340,-101.6541670,93.26879701539849,940.0031699198986,880.7774838151205,81.69000000000005,59.22568610477803,2,13,2009
2335907,Lubbock,33.4108340,-101.6602780,76.80959754209287,942.1367698516234,884.8770436839345,-41.460000000000036,57.259726167688804,2,12,2016
2336201,Lubbock,33.4963890,-101.5808330,33.527998927104036,930.8591702125066,905.8777630119116,58.440000000000055,24.98140720059498,12,19,2014
2336401,Lubbock,33.4452780,-101.5941670,45.71999853696005,931.4687701929994,899.9463552017166,22.480000000000018,31.522414991282744,12,19,2014
2336701,Lubbock,33.4111120,-101.5905560,56.38799819558406,930.2495702320138,890.7535874958852,21.019999999999982,39.49598273612853,12,19,2014
2336702,Lubbock,33.4108340,-101.5852780,92.6591970349057,928.115970300289,856.4879725923848,15,71.62799770790407,12,19,2014
2336703,Lubbock,33.3991670,-101.6091670,79.55279745431048,933.6023701247242,868.7470282000951,-77.7800000000002,64.85534192462912,2,26,2001
2336707,Lubbock,33.4019450,-101.6111120,92.6591970349057,933.6023701247242,861.9256044183807,-49.75999999999976,71.67676570634346,2,7,2006
2336708,Lubbock,33.3988889,-101.6013889,85.34399726899208,934.211970105217,864.7968203265018,-1.3399999999996908,69.41514977871515,2,12,2016
2416802,Lubbock,33.7802780,-102.0619450,67.97039782494727,1025.3471671888906,989.8227283256726,29.84999999999991,35.52443886321801,12,9,2014
2416901,Lubbock,33.7791670,-102.0241670,59.74079808829446,1036.6247668280075,985.0983284768535,19.149999999999636,51.52643835115403,12,9,2014
2424301,Lubbock,33.7261110,-102.0319440,53.644798283366455,1021.9943672961803,979.4046646590507,17.070000000000164,42.58970263712952,12,9,2014
2424602,Lubbock,33.6891670,-102.0011120,35.66159885882884,1002.791967910657,976.5243047512223,22.720000000000255,26.26766315943473,12,15,2014
2424802,Lubbock,33.6505560,-102.0611120,60.95999804928006,1023.2135672571659,968.075249021592,39.79999999999973,55.13831823557384,4,27,2004
2424804,Lubbock,33.6505556,-102.0438889,63.09359798100486,1018.9463673937163,964.356689140586,35.59999999999991,54.589678253130266,12,31,2015
2424903,Lubbock,33.6575010,-102.0258330,60.655198059033665,1007.363967764353,962.3907292034966,15.449999999999818,44.97323856085642,3,9,2015
2432201,Lubbock,33.6205550,-102.0755550,43.281598614988845,1017.4223674424843,985.8847124516893,29.730000000000018,31.53765499079498,1,16,1998
2432303,Lubbock,33.6052780,-102.0341670,49.68239841016325,1014.0695675497739,978.407968690945,30.300000000000182,35.66159885882884,1,31,2000
2432305,Lubbock,33.5983340,-102.0336110,47.85359846868485,1013.459967569281,974.1072408285683,16.190000000000055,39.35272674071278,2,4,2016
2432317,Lubbock,33.5875000,-102.0136120,60.655198059033665,1012.5455675985419,969.3188329817973,35.48000000000002,43.226734616744544,12,18,2015
2432318,Lubbock,33.6094450,-102.0350000,45.71999853696005,1013.7647675595274,976.3688567561966,23.610000000000127,37.39591080333087,1,21,2016
2432502,Lubbock,33.5827780,-102.0763890,57.91199814681606,1018.6415674034698,982.0838565733166,39.159999999999854,36.55771083015327,12,18,2015
2432608,Lubbock,33.5486110,-102.0205550,61.874398020019264,1010.7167676570634,964.9358091220541,62,45.78095853500927,12,18,2014
2432911,Lubbock,33.5086120,-102.0044450,60.95999804928006,1005.2303678326282,963.929969154241,43.69999999999982,41.30039867838724,3,9,2004
2440201,Lubbock,33.4869450,-102.0505560,57.30239816632326,1012.2407676082954,970.0168249594616,61.26999999999998,42.2239426488339,1,7,2003
2440207,Lubbock,33.4841670,-102.0536120,59.43599809804806,1012.2407676082954,969.1633849867717,58.470000000000255,43.07738262152373,12,18,2015
2440301,Lubbock,33.4833340,-102.0105560,48.76799843942405,1012.8503675887882,968.4928250082296,60.86999999999989,44.3575425805587,1,8,1998
2440504,Lubbock,33.4413890,-102.0425000,58.52159812730886,1009.4975676960778,966.1458650833323,50.67000000000007,43.35170261274552,12,12,2013
2440603,Lubbock,33.4208330,-102.0191670,44.50079857597444,1003.4015678911499,974.2931688226186,46.09999999999991,29.10839906853123,12,17,2015
